CUST_ID,TENURE,BALANCE_FREQUENCY_RANGE,PURCHASES_FREQUENCY_RANGE,ONEOFF_PURCHASES_FREQUENCY_RANGE,PURCHASES_INSTALLMENTS_FREQUENCY_RANGE,CASH_ADVANCE_FREQUENCY_RANGE,PRC_FULL_PAYMENT_RANGE,BALANCE_RANGE,PURCHASES_RANGE,ONEOFF_PURCHASES_RANGE,INSTALLMENTS_PURCHASES_RANGE,CASH_ADVANCE_RANGE,CREDIT_LIMIT_RANGE,PAYMENTS_RANGE,MINIMUM_PAYMENTS_RANGE,PURCHASES_TRX_RANGE,CASH_ADVANCE_TRX_RANGE,cluster
C10041,12,8,0,0,0,3,2,2,0,0,0,4,3,4,1,0,1,3
C10043,12,10,6,5,4,3,2,2,3,2,2,3,3,3,1,5,3,2
C10044,12,10,1,1,0,0,0,4,1,1,0,0,4,2,3,1,0,3
C10045,12,10,0,0,0,1,0,3,0,0,0,3,3,1,1,0,1,3
C10046,12,10,10,4,10,0,0,5,3,1,3,0,5,3,3,4,0,2
C10047,12,10,4,1,4,2,0,3,1,1,1,1,3,0,2,1,1,3
C10048,8,5,4,0,3,2,0,1,1,0,1,3,3,1,1,1,1,3
C10049,12,10,0,0,0,5,0,4,0,0,0,3,4,0,2,0,2,1
C10050,12,10,10,7,10,0,10,1,3,3,2,0,4,3,1,7,0,2
C10051,12,10,2,2,0,1,1,2,2,2,0,2,4,2,1,1,1,3
C10052,8,10,7,4,3,9,0,4,2,2,1,5,6,5,3,2,6,1
C10053,12,10,7,6,5,0,0,3,4,3,2,0,3,3,3,4,0,2
C10054,12,10,0,0,0,3,0,3,0,0,0,1,4,2,2,0,1,3
C10055,9,9,7,7,0,2,2,1,3,3,0,3,3,4,1,3,1,2
C10056,12,7,7,0,7,0,0,1,1,0,1,0,2,1,2,2,0,0
C10057,12,10,3,3,0,0,0,3,3,3,0,0,5,0,2,2,0,3
C10058,12,10,3,3,0,5,0,4,1,1,0,2,4,0,2,1,1,1
C10059,12,10,10,10,5,0,1,3,5,4,1,0,5,5,3,6,0,2
C10060,11,10,0,0,0,2,0,4,0,0,0,1,4,2,3,0,1,1
C10061,12,10,5,0,4,4,0,5,1,0,1,2,5,3,3,2,1,1
C10062,12,8,2,2,0,0,0,3,1,1,0,0,5,4,2,1,0,3
C10063,12,10,1,1,0,0,0,3,1,1,0,0,3,1,2,1,0,3
C10064,11,10,0,0,0,6,1,2,0,0,0,4,4,4,1,0,2,1
C10065,12,1,1,1,0,0,0,1,2,2,0,0,3,0,2,1,0,3
C10067,12,10,10,0,10,1,1,3,3,0,3,3,3,4,4,7,1,0
C10068,12,10,6,4,2,0,0,3,1,1,1,0,3,2,2,3,0,3
C10069,8,9,0,0,0,2,0,2,0,0,0,2,3,1,1,0,1,3
C10070,12,10,0,0,0,5,0,3,0,0,0,1,3,2,1,0,2,3
C10071,12,10,7,1,6,0,1,4,1,1,1,0,5,5,3,2,0,0
C10072,12,10,4,4,0,0,0,3,3,3,0,0,3,3,2,1,0,3
C10073,12,10,10,0,9,4,0,5,1,0,1,2,5,3,3,3,1,1
C10074,12,10,7,5,6,9,5,3,4,3,3,6,5,6,3,6,5,1
C10075,8,10,0,0,0,2,3,2,0,0,0,3,5,2,1,0,1,3
C10077,10,10,5,1,4,0,0,3,2,2,1,0,3,2,2,2,0,0
C10078,11,10,3,1,2,0,0,2,2,2,1,0,5,3,1,2,0,3
C10079,12,10,9,2,8,0,0,5,2,1,1,0,5,3,3,3,0,2
C10080,12,10,10,10,0,0,0,3,2,2,0,0,6,3,2,4,0,2
C10081,12,10,8,0,7,0,0,2,1,0,1,0,3,3,1,2,0,0
C10082,12,10,0,0,0,1,0,3,0,0,0,1,3,1,5,0,1,3
C10083,12,10,6,6,0,5,0,5,1,1,0,4,5,3,3,2,2,1
C10084,12,10,7,2,6,0,2,1,1,1,1,0,4,1,1,3,0,0
C10085,12,3,0,0,0,2,0,1,0,0,0,3,5,1,1,0,1,3
C10086,12,7,5,2,3,0,5,1,1,1,1,0,6,1,1,1,0,3
C10087,12,6,5,0,5,0,10,1,1,0,1,0,3,2,1,3,0,0
C10088,12,10,10,10,4,1,0,3,4,4,1,1,5,4,2,6,1,2
C10089,12,10,10,10,0,0,10,1,3,3,0,0,6,3,1,5,0,2
C10090,12,10,10,9,10,8,0,5,3,3,1,5,6,4,3,5,5,1
C10092,12,10,10,8,10,8,0,5,3,3,2,5,6,4,3,7,5,2
C10093,12,10,1,1,0,1,0,4,1,1,0,1,4,3,2,1,1,3
C10094,12,10,0,0,0,5,0,5,0,0,0,3,5,3,3,0,3,1
C10095,12,10,10,3,10,1,0,5,5,3,4,1,5,5,5,6,1,2
C10096,11,10,10,1,9,6,1,3,3,1,2,4,4,4,2,4,5,1
C10097,12,10,1,1,0,1,0,3,1,1,0,1,3,1,1,1,1,3
C10098,12,10,2,2,0,0,0,3,1,1,0,0,3,0,2,1,0,3
C10099,12,10,3,3,0,0,0,3,1,1,0,0,3,0,2,1,0,3
C10100,12,10,0,0,0,1,0,3,0,0,0,1,3,1,3,0,1,3
C10101,12,10,7,7,0,0,0,3,2,2,0,0,5,1,1,3,0,3
C10102,12,10,0,0,0,5,0,4,0,0,0,3,4,0,2,0,2,1
C10103,12,4,3,0,2,0,10,1,1,0,1,0,5,1,1,1,0,3
C10104,7,0,0,0,0,2,0,0,0,0,0,1,3,1,2,0,1,3
C10105,9,7,2,2,0,0,0,1,1,1,0,0,3,1,1,1,0,3
C10106,12,3,10,0,10,0,0,1,3,0,3,0,3,2,1,3,0,0
C10107,12,10,10,10,9,0,1,4,3,3,3,0,5,5,3,7,0,2
C10108,12,1,10,0,10,0,0,1,1,0,1,0,4,0,2,6,0,0
C10109,12,10,0,0,0,1,1,2,0,0,0,2,4,3,1,0,1,3
C10110,12,10,3,3,0,4,0,3,2,2,0,2,4,2,3,1,2,1
C10111,12,10,10,0,10,0,1,1,2,0,2,0,3,3,1,3,0,0
C10112,12,10,0,0,0,6,0,4,0,0,0,5,5,3,3,0,6,1
C10113,12,10,7,2,5,1,0,3,1,1,1,1,3,2,1,2,1,0
C10114,12,10,10,10,10,6,1,5,4,3,3,5,5,6,3,7,5,2
C10115,12,9,10,4,9,0,0,1,3,2,2,0,5,2,1,6,0,2
C10116,12,10,0,0,0,1,0,4,0,0,0,3,4,0,2,0,1,3
C10117,12,10,10,3,10,4,0,5,3,2,3,3,5,3,3,7,2,2
C10118,12,10,0,0,0,3,0,5,0,0,0,4,5,3,3,0,3,1
C10119,12,9,7,5,4,0,10,1,3,3,1,0,4,3,1,3,0,2
C10120,12,10,10,6,10,0,0,2,3,2,1,0,3,2,1,5,0,2
C10121,12,7,6,0,5,0,4,1,3,0,3,0,5,3,1,3,0,0
C10122,12,10,0,0,0,3,0,3,0,0,0,2,3,2,3,0,2,1
C10123,12,3,2,0,2,0,10,1,1,0,1,0,5,3,1,1,0,3
C10124,12,10,0,0,0,4,0,3,0,0,0,2,3,2,2,0,1,3
C10125,12,10,10,10,10,5,0,5,5,4,3,3,6,3,3,7,2,2
C10126,12,10,3,3,0,0,0,3,3,3,0,0,5,0,2,2,0,3
C10127,12,10,10,0,10,0,0,3,5,0,5,0,5,4,2,7,0,2
C10128,12,10,0,0,0,2,0,3,0,0,0,2,4,3,3,0,1,1
C10130,12,10,0,0,0,4,0,6,0,0,0,4,6,4,4,0,2,1
C10131,12,10,10,10,0,0,0,3,6,6,0,0,3,6,3,8,0,2
C10132,8,8,0,0,0,2,2,1,0,0,0,1,3,1,1,0,1,3
C10133,12,10,9,2,6,0,0,4,3,3,2,0,4,3,3,4,0,2
C10134,12,10,1,1,0,5,0,6,1,1,0,5,6,3,3,1,3,1
C10135,12,1,0,0,0,1,0,1,0,0,0,3,6,0,2,0,1,3
C10136,12,3,3,3,0,1,0,1,2,2,0,1,4,0,2,2,1,3
C10137,12,10,9,3,9,0,0,4,3,1,2,0,4,3,4,6,0,2
C10138,12,7,6,0,5,0,0,1,1,0,1,0,3,1,1,2,0,0
C10139,12,10,1,1,0,7,1,5,2,2,0,6,6,6,3,1,4,1
C10140,12,10,10,0,10,0,0,1,1,0,1,0,4,2,1,5,0,0
C10141,12,10,5,2,3,0,0,3,3,3,1,0,3,3,2,2,0,2
C10142,12,10,10,5,10,0,0,3,5,3,4,0,6,3,2,7,0,2
C10143,12,10,10,4,10,3,0,2,2,2,1,2,3,2,1,4,1,0
C10144,12,10,10,8,10,0,0,6,6,5,6,0,6,6,6,8,0,2
C10145,12,10,10,10,0,1,0,3,2,2,0,2,3,3,2,3,1,2
C10146,12,10,4,3,2,0,0,2,1,1,1,0,2,1,2,1,0,3
C10147,12,9,0,0,0,2,0,2,0,0,0,3,5,3,1,0,1,3
C10148,12,10,0,0,0,5,0,5,0,0,0,4,5,0,2,0,2,1
C10149,12,10,7,5,6,0,0,6,3,3,2,0,6,4,4,3,0,2
C10150,12,10,10,10,10,0,0,3,5,4,3,0,5,4,2,7,0,2
C10151,12,10,1,1,0,0,0,4,3,3,0,0,5,2,2,1,0,3
C10152,12,10,9,0,9,0,0,1,2,0,2,0,5,2,2,2,0,0
C10153,12,10,1,1,0,1,1,1,1,1,0,1,5,3,1,1,1,3
C10154,12,10,5,3,5,0,0,3,2,1,2,0,3,3,2,2,0,0
C10155,12,10,9,1,9,1,1,2,3,1,2,1,6,3,1,3,1,0
C10156,12,10,6,0,5,2,0,5,4,0,4,2,5,4,6,3,2,1
C10157,12,10,10,10,10,0,0,3,4,4,2,0,5,3,1,6,0,2
C10158,12,10,10,0,10,0,10,1,2,0,2,0,5,2,1,5,0,0
C10159,12,10,10,8,10,8,0,6,5,4,5,3,6,6,5,8,5,2
C10160,12,7,10,5,10,0,7,1,3,2,3,0,4,3,1,6,0,2
C10161,12,4,4,0,3,0,3,1,3,0,3,0,6,4,1,1,0,0
C10162,12,10,10,10,5,8,0,5,4,4,1,4,5,0,2,6,3,2
C10163,12,10,0,0,0,2,0,3,0,0,0,1,3,1,3,0,1,3
C10164,12,10,10,10,7,0,3,3,5,5,3,0,6,6,3,7,0,2
C10165,12,10,1,1,0,1,0,3,1,1,0,1,3,1,1,1,1,3
C10166,12,10,0,0,0,5,0,3,0,0,0,1,3,2,2,0,1,3
C10167,12,10,0,0,0,1,0,4,0,0,0,2,5,3,3,0,1,1
C10168,12,10,10,1,10,0,0,2,2,1,2,0,3,3,1,5,0,0
C10169,12,10,3,1,2,0,0,3,2,2,1,0,4,1,2,1,0,3
C10170,6,10,10,0,9,0,5,1,1,0,1,0,2,1,1,2,0,0
C10171,12,10,0,0,0,1,0,5,0,0,0,1,5,3,3,0,1,1
C10172,12,4,10,0,10,0,0,2,1,0,1,0,5,3,1,3,0,0
C10173,12,10,10,7,8,1,10,2,5,4,2,3,6,4,1,6,1,2
C10174,12,10,10,0,10,0,0,3,2,0,2,0,2,3,3,3,0,0
C10175,12,10,7,5,4,0,0,1,3,3,2,0,4,3,1,4,0,2
C10176,9,7,0,0,0,3,0,2,0,0,0,4,4,4,1,0,1,1
C10177,12,10,10,10,9,6,8,2,6,5,4,3,6,6,1,8,4,2
C10178,12,4,3,0,2,0,2,1,1,0,1,0,6,1,1,1,0,3
C10179,7,9,0,0,0,3,2,3,0,0,0,4,3,3,1,0,2,1
C10180,12,10,10,10,10,2,0,6,5,4,3,3,6,4,4,7,1,2
C10181,12,10,0,0,0,2,0,3,0,0,0,1,3,1,1,0,1,3
C10182,12,10,9,9,0,3,0,3,2,2,0,3,3,0,2,3,1,3
C10183,12,10,0,0,0,6,0,3,0,0,0,3,3,3,3,0,3,1
C10184,12,10,10,5,10,0,10,1,4,3,3,0,6,3,1,6,0,2
C10185,12,5,5,0,5,0,2,1,1,0,1,0,5,2,1,1,0,3
C10186,12,10,10,4,10,0,0,2,3,1,3,0,3,3,1,6,0,0
C10187,12,0,1,0,1,0,0,0,1,0,1,0,4,0,2,1,0,3
C10188,12,10,3,0,2,8,2,3,1,0,1,6,4,6,2,1,5,1
C10189,12,1,1,1,1,0,0,1,1,1,1,0,6,0,2,1,0,3
C10190,12,10,7,5,5,0,0,1,2,1,1,0,5,1,1,3,0,0
C10191,12,9,9,0,8,0,2,1,3,0,3,0,3,3,1,5,0,0
C10192,12,10,2,0,2,3,0,3,1,0,1,3,5,3,1,1,1,1
C10193,12,10,10,4,10,0,0,2,2,1,1,0,2,2,2,5,0,0
C10194,12,10,5,5,0,1,0,2,2,2,0,1,3,0,2,2,1,3
C10196,12,10,4,4,0,1,0,2,1,1,0,2,3,1,1,3,1,3
C10197,12,8,3,3,0,0,1,1,1,1,0,0,5,1,1,1,0,3
C10198,12,10,1,1,0,0,0,1,1,1,0,0,5,0,2,1,0,3
C10199,12,4,1,1,0,1,1,1,1,1,0,3,4,3,1,1,1,3
C10200,12,10,5,0,5,0,0,5,3,0,3,0,6,3,3,4,0,2
C10201,12,10,5,5,0,0,0,4,2,2,0,0,4,3,3,3,0,2
C10202,12,10,10,2,9,0,0,5,4,2,3,0,6,3,3,6,0,2
C10203,12,9,8,1,7,0,9,1,4,1,4,0,5,3,1,6,0,0
C10204,12,10,10,10,6,0,6,1,3,3,1,0,6,3,1,6,0,2
C10205,12,10,2,2,0,0,0,3,2,2,0,0,5,2,2,1,0,3
C10206,12,10,2,0,2,8,0,5,1,0,1,3,5,3,4,1,3,1
C10207,12,5,2,2,0,0,0,1,1,1,0,0,6,3,1,1,0,3
C10208,12,10,5,2,5,4,0,2,1,1,1,3,3,3,1,3,2,1
C10209,12,10,9,0,9,0,9,1,1,0,1,0,4,1,1,2,0,0
C10211,12,10,4,2,2,1,0,5,3,2,3,2,6,4,3,2,1,2
C10212,12,10,10,7,10,0,0,4,6,5,3,0,5,5,3,8,0,2
C10213,12,1,1,0,1,0,1,1,1,0,1,0,4,1,1,1,0,3
C10214,12,10,2,2,0,5,0,3,2,2,0,3,3,3,2,1,2,1
C10215,12,10,4,4,1,3,0,5,2,2,1,5,6,3,3,2,4,1
C10216,12,10,9,6,7,5,0,5,3,2,1,4,6,3,3,5,2,2
C10217,12,5,3,1,2,0,3,1,2,2,1,0,4,3,1,1,0,3
C10218,12,10,10,10,2,8,0,5,1,1,1,5,5,3,3,3,5,1
C10219,12,10,5,5,1,0,0,4,2,2,1,0,5,3,2,2,0,2
C10220,12,9,0,0,0,1,0,3,0,0,0,1,5,4,2,0,1,3
C10221,12,10,8,8,0,0,0,2,1,1,0,0,5,2,1,2,0,3
C10222,12,8,3,0,2,0,0,1,2,0,2,0,4,2,1,1,0,3
C10223,12,2,2,0,1,0,0,1,1,0,1,0,5,0,2,1,0,3
C10224,12,10,10,2,10,1,0,3,2,1,2,1,3,2,1,6,1,0
C10226,12,6,4,1,2,0,2,1,1,1,1,0,6,1,1,2,0,3
C10227,12,10,5,4,3,9,0,3,1,1,1,3,3,3,3,2,4,1
C10228,12,10,10,10,10,1,0,3,4,4,3,1,5,5,2,7,1,2
C10229,12,10,10,8,10,0,0,5,6,5,5,0,5,6,5,8,0,2
C10230,12,10,10,10,1,0,0,4,3,3,1,0,5,2,2,4,0,2
C10231,7,9,2,2,0,0,0,1,1,1,0,0,3,1,1,1,0,3
C10232,12,10,10,10,8,0,0,5,3,3,1,0,6,3,3,5,0,2
C10233,12,10,4,4,0,0,0,5,5,5,0,0,5,6,3,1,0,2
C10234,12,10,1,1,0,0,0,1,1,1,0,0,4,1,1,1,0,3
C10235,12,10,10,5,9,0,0,4,3,1,3,0,4,3,4,6,0,2
C10236,12,10,9,5,8,0,0,4,3,3,2,0,5,3,2,5,0,2
C10237,9,4,0,0,0,2,5,1,0,0,0,1,3,3,1,0,1,3
C10238,12,10,8,7,6,0,4,3,6,3,5,0,6,5,2,6,0,2
C10239,12,10,8,3,6,0,0,3,2,1,2,0,3,2,1,3,0,0
C10240,12,10,10,0,10,0,1,1,4,0,4,0,3,3,3,3,0,0
C10241,12,10,10,10,0,1,0,3,3,3,0,3,5,3,1,5,1,2
C10242,12,10,1,1,0,0,0,3,1,1,0,0,3,2,2,1,0,3
C10243,12,10,9,7,8,1,0,3,3,3,3,1,3,3,3,6,1,2
C10244,12,10,10,10,0,0,0,4,3,3,0,0,5,0,2,3,0,2
C10245,12,10,5,0,5,3,0,5,1,0,1,3,6,3,3,2,1,1
C10246,12,10,4,1,3,1,0,4,1,1,1,1,6,3,2,1,1,1
C10247,12,6,5,0,5,2,0,1,1,0,1,1,5,1,1,2,1,3
C10248,12,10,6,2,4,0,0,3,1,1,1,0,3,2,3,2,0,0
C10249,12,9,3,3,0,3,0,4,3,3,0,5,5,0,2,1,1,1
C10250,12,7,5,1,4,0,10,1,3,3,2,0,4,4,1,3,0,0
C10251,12,10,10,10,10,0,2,3,5,4,2,0,5,5,1,8,0,2
C10252,11,10,1,1,0,0,0,2,2,2,0,0,5,1,1,1,0,3
C10253,12,10,10,7,10,0,0,3,4,3,3,0,3,4,3,6,0,2
C10254,12,4,3,0,2,0,2,1,1,0,1,0,3,1,1,1,0,3
C10255,12,10,10,6,8,0,0,1,3,3,2,0,6,3,1,6,0,2
C10256,12,10,10,0,10,0,0,1,1,0,1,0,3,1,1,3,0,0
C10257,12,10,10,0,10,5,0,5,1,0,1,6,6,6,3,3,3,1
C10258,12,10,10,10,5,0,0,5,4,4,1,0,6,3,3,7,0,2
C10259,12,10,3,3,0,4,0,3,3,3,0,4,4,4,2,3,2,1
C10260,12,10,10,0,10,0,1,2,2,0,2,0,2,3,3,3,0,0
C10261,12,10,5,0,5,0,3,1,1,0,1,0,3,1,1,1,0,0
C10262,12,10,10,10,0,0,10,1,3,3,0,0,6,3,1,3,0,2
C10263,12,10,0,0,0,2,0,5,0,0,0,1,5,3,3,0,1,1
C10265,11,4,4,0,3,0,5,1,1,0,1,0,3,1,1,1,0,3
C10266,12,9,1,1,0,0,0,1,1,1,0,0,5,1,1,1,0,3
C10267,12,10,9,8,5,3,0,3,3,3,1,2,6,2,1,5,2,2
C10269,12,10,10,0,10,0,0,5,3,0,3,0,6,3,3,7,0,2
C10270,12,10,0,0,0,2,1,3,0,0,0,3,3,3,2,0,1,1
C10271,12,9,2,2,0,0,0,3,4,4,0,0,5,4,2,1,0,2
C10272,12,10,10,9,10,1,0,3,4,3,3,1,4,3,2,7,1,2
C10273,12,10,10,9,8,1,1,3,5,4,3,1,3,4,3,7,1,2
C10274,6,10,10,5,9,5,0,5,5,4,4,5,5,4,5,7,3,2
C10275,12,8,5,1,5,0,0,2,1,1,1,0,5,3,1,2,0,0
C10276,12,10,10,1,10,0,0,5,4,1,4,0,5,5,5,3,0,2
C10277,12,10,10,5,10,0,0,3,3,2,3,0,5,3,1,6,0,2
C10278,12,10,10,10,0,0,0,3,2,2,0,0,5,2,2,3,0,2
C10279,12,10,2,2,0,0,1,1,2,2,0,0,5,2,1,1,0,3
C10280,12,10,10,8,3,1,1,3,5,5,1,3,6,6,2,6,1,2
C10281,12,10,10,10,10,1,10,2,4,4,3,1,5,4,1,7,1,2
C10282,12,10,2,2,0,5,0,4,1,1,0,3,5,2,2,1,1,1
C10283,12,10,10,5,8,0,9,1,3,3,1,0,6,3,1,5,0,2
C10284,12,10,10,10,10,0,1,5,6,6,5,0,6,6,3,7,0,2
C10285,12,10,10,1,10,4,1,5,1,1,1,6,6,6,3,5,3,1
C10286,12,2,1,1,0,0,0,1,1,1,0,0,3,1,1,1,0,3
C10287,12,10,3,3,0,1,0,3,1,1,0,1,3,1,2,1,1,3
C10288,12,3,1,1,0,0,0,1,1,1,0,0,5,0,2,1,0,3
C10289,12,10,8,0,7,0,5,3,1,0,1,0,6,5,2,2,0,0
C10290,12,10,10,2,10,1,0,3,3,2,3,3,5,2,1,3,1,2
C10291,12,10,5,5,4,0,0,5,4,4,1,0,6,4,3,3,0,2
C10292,12,10,10,0,10,1,0,3,1,0,1,1,2,2,3,3,1,0
C10293,12,10,6,1,5,0,0,2,1,1,1,0,5,2,1,2,0,0
C10294,12,10,10,3,10,0,0,3,3,2,3,0,3,3,3,7,0,2
C10295,12,9,0,0,0,1,2,1,0,0,0,2,3,3,1,0,1,3
C10296,12,10,0,0,0,7,1,4,0,0,0,5,5,5,3,0,4,1
C10297,12,10,0,0,0,1,0,3,0,0,0,2,3,2,2,0,1,3
C10298,12,10,6,6,1,3,0,3,1,1,1,3,4,2,3,3,1,1
C10299,12,7,5,5,0,0,5,1,2,2,0,0,5,3,1,4,0,3
C10300,12,10,0,0,0,2,0,5,0,0,0,2,5,3,3,0,1,1
C10301,12,10,10,10,7,0,10,1,3,2,3,0,5,3,1,6,0,2
C10302,12,10,5,3,2,2,0,5,1,1,1,3,5,3,3,2,2,1
C10303,12,10,2,2,0,0,0,4,3,3,0,0,4,2,2,1,0,3
C10304,12,10,0,0,0,6,0,4,0,0,0,1,4,3,3,0,2,1
C10305,12,10,10,0,10,0,4,1,1,0,1,0,5,1,1,3,0,0
C10306,12,9,8,3,8,0,10,2,5,3,4,0,3,5,1,6,0,2
C10307,12,10,2,2,0,3,0,3,1,1,0,3,5,3,1,1,1,1
C10308,12,10,0,0,0,1,0,5,0,0,0,4,6,3,3,0,1,1
C10309,12,10,10,10,0,0,0,3,2,2,0,0,3,3,2,3,0,2
C10310,12,10,7,7,0,1,7,1,3,3,0,1,1,3,1,3,1,2
C10311,12,10,3,3,0,2,0,4,2,2,0,3,4,3,3,3,2,1
C10312,12,10,10,3,10,0,1,3,3,3,3,0,6,5,3,5,0,2
C10313,12,10,0,0,0,1,0,4,0,0,0,3,5,5,2,0,1,1
C10314,12,8,6,5,3,0,0,1,3,3,1,0,3,1,1,3,0,0
C10315,12,10,0,0,0,5,0,5,0,0,0,5,6,3,3,0,2,1
C10316,12,10,10,2,10,0,10,1,3,1,3,0,4,3,1,6,0,0
C10317,12,10,10,6,7,0,7,1,3,1,3,0,5,3,1,5,0,2
C10318,12,10,10,1,10,0,9,1,3,2,2,0,4,3,1,4,0,0
C10319,11,10,0,0,0,2,0,3,0,0,0,3,4,1,2,0,1,3
C10320,12,10,7,2,6,0,0,2,1,1,1,0,3,0,2,3,0,0
C10321,12,10,10,10,1,0,10,1,1,1,1,0,6,2,1,3,0,2
C10322,12,10,10,10,10,3,0,3,3,3,2,3,3,3,2,6,2,2
C10323,12,10,10,10,10,0,0,2,5,3,3,0,5,0,2,7,0,2
C10324,12,10,0,0,0,4,0,2,0,0,0,1,2,2,1,0,1,3
C10325,12,10,0,0,0,2,0,3,0,0,0,4,5,3,2,0,1,1
C10326,11,10,0,0,0,4,0,1,0,0,0,2,2,1,1,0,2,3
C10327,7,9,0,0,0,2,0,4,0,0,0,5,5,2,3,0,1,1
C10328,12,10,9,9,0,0,0,2,1,1,0,0,3,1,1,2,0,3
C10329,12,10,10,0,10,0,2,1,1,0,1,0,3,1,1,3,0,0
C10330,12,1,9,1,8,0,0,1,2,1,2,0,5,3,2,4,0,0
C10331,12,10,1,0,1,5,0,4,1,0,1,3,5,3,3,1,3,1
C10332,12,10,8,1,7,4,0,5,2,1,2,4,6,3,3,4,2,1
C10333,12,10,0,0,0,4,0,5,0,0,0,3,5,3,3,0,2,1
C10334,12,10,2,2,0,0,0,3,1,1,0,0,5,3,2,1,0,3
C10335,12,10,0,0,0,7,0,3,0,0,0,4,4,1,1,0,2,1
C10336,12,10,10,0,10,0,4,1,2,0,2,0,3,1,1,5,0,0
C10337,12,8,7,1,7,0,1,4,3,1,3,0,6,6,3,5,0,2
C10338,12,10,10,10,0,3,0,3,2,2,0,2,3,3,3,3,1,2
C10339,12,10,1,1,0,4,0,2,1,1,0,3,2,3,1,1,2,3
C10340,12,10,10,10,1,0,10,1,4,4,1,0,5,3,1,5,0,2
C10341,12,10,0,0,0,2,0,3,0,0,0,1,3,2,3,0,1,3
C10342,12,10,8,8,0,0,10,1,3,3,0,0,5,3,1,3,0,2
C10343,12,10,10,5,10,0,1,2,3,3,1,0,5,4,1,6,0,2
